oa_code,All people,No condition,One or more conditions,Deafness or partial hearing loss,Blindness or partial sight loss,Learning disability,Learning difficulty,Developmental disorder,Physical disability,Mental health condition,Other condition
S00117880,91,59,32,5,1,0,0,0,10,2,22
S00117881,170,127,43,7,0,0,2,1,9,4,31
S00117882,138,108,30,10,0,0,0,1,6,3,16
S00117883,125,97,28,6,1,0,4,0,3,5,18
S00117884,87,61,26,6,2,0,4,0,6,2,17
S00117885,164,121,43,7,2,0,5,2,6,8,26
S00117886,218,168,50,10,4,2,11,8,7,3,27
S00117887,129,92,37,9,3,1,2,1,6,4,26
S00117888,85,69,16,2,2,0,4,1,3,1,8
S00117889,140,96,44,12,5,0,1,1,7,1,28
S00117890,155,124,31,6,2,0,3,1,5,4,22
S00117891,174,125,49,15,1,0,6,0,5,3,30
S00117892,103,72,31,6,4,1,0,1,3,2,21
S00117893,151,103,48,9,1,0,8,2,8,1,30
S00117894,164,125,39,7,2,1,5,1,3,4,24
S00117895,124,53,71,11,6,25,19,13,36,17,54
S00117896,95,61,34,7,1,0,2,1,4,4,25
S00117897,74,46,28,9,0,0,1,0,2,1,16
S00117898,75,50,25,6,1,2,2,0,5,5,14
S00117899,89,68,21,3,0,0,3,0,2,2,14
S00117900,86,63,23,4,2,0,2,1,8,1,15
S00117901,77,62,15,4,1,1,0,0,1,3,9
S00117902,144,101,43,9,5,0,3,1,8,3,30
S00117903,184,127,57,12,4,9,3,0,10,2,40
S00117904,76,57,19,7,1,0,0,0,6,3,12
S00117905,98,77,21,3,2,0,1,0,3,1,17
S00117906,149,98,51,11,4,0,3,1,3,4,36
S00117907,86,65,21,5,0,0,1,0,3,4,14
S00117908,88,64,24,8,1,0,1,1,2,2,12
S00117909,139,98,41,10,0,0,1,0,6,2,25
S00117910,130,100,30,4,3,1,2,0,3,3,23
S00117911,50,40,10,4,1,0,0,0,2,1,5
S00117912,114,84,30,8,2,0,1,1,5,2,23
S00117913,106,81,25,6,0,1,2,0,6,2,17
S00117914,140,94,46,10,3,0,9,0,6,2,25
S00117915,136,90,46,10,3,0,2,1,14,5,25
S00117916,94,71,23,4,0,1,2,0,1,1,18
S00117917,106,84,22,8,2,1,1,0,5,1,13
S00117918,156,114,42,9,2,0,3,0,8,2,24
S00117919,185,153,32,6,0,0,1,0,6,1,23
S00117920,118,83,35,10,6,0,0,0,9,0,26
S00117921,60,45,15,3,0,0,0,0,1,1,14
S00117922,111,63,48,9,6,0,1,2,8,10,26
S00117923,69,43,26,10,1,1,2,0,7,3,15
S00117924,152,100,52,8,3,0,2,0,5,5,40
S00117925,195,148,47,14,3,0,2,0,8,6,31
S00117926,176,128,48,9,3,2,2,2,10,10,36
S00117927,155,111,44,13,2,2,1,3,8,2,30
S00117928,62,51,11,3,1,0,0,0,1,1,7
S00117929,133,101,32,6,6,1,1,1,8,1,18
S00117930,87,63,24,8,4,0,0,0,1,3,14
S00117931,121,89,32,7,1,0,0,0,9,5,23
S00117932,152,107,45,14,1,0,3,3,7,3,30
S00117933,143,104,39,4,6,1,6,3,5,2,26
S00117934,84,63,21,4,1,0,1,1,1,0,15
S00117935,112,79,33,7,1,0,1,0,6,2,23
S00117936,81,55,26,9,2,0,3,0,5,1,16
S00117937,78,45,33,6,2,0,2,0,6,3,23
S00117938,156,119,37,8,2,2,8,1,4,5,22
S00117939,133,95,38,12,3,0,2,1,11,2,20
S00117940,118,89,29,9,0,1,2,0,2,2,19
S00117941,90,68,22,3,0,0,5,0,4,3,14
S00117942,158,120,38,11,3,2,1,3,7,3,18
S00117943,94,67,27,9,3,0,6,0,2,3,17
S00117944,144,96,48,21,5,1,2,0,10,2,26
S00117945,164,100,64,23,2,4,5,0,11,2,38
S00117946,174,122,52,17,4,0,0,1,13,3,34
S00117947,139,96,43,16,2,1,2,2,13,5,29
S00117948,101,70,31,8,5,0,2,0,6,3,20
S00117949,122,88,34,8,0,0,1,0,9,4,25
S00117950,156,105,51,15,3,0,4,1,8,7,36
S00117951,148,107,41,12,2,1,1,2,8,3,27
S00117952,130,106,24,10,1,0,3,0,6,1,13
S00117953,127,83,44,13,1,0,4,2,7,4,28
S00117954,122,94,28,4,1,1,6,2,4,2,15
S00117955,140,93,47,12,5,0,1,3,10,3,31
S00117956,86,70,16,5,0,0,0,0,2,1,10
S00117957,123,78,45,14,3,0,1,2,8,2,31
S00117958,122,91,31,6,1,0,1,0,3,3,19
S00117959,62,46,16,5,2,0,0,0,1,0,12
S00117960,141,94,47,6,4,0,2,1,7,4,33
S00117961,116,84,32,12,1,1,3,1,7,5,20
S00117962,144,85,59,19,5,1,0,0,12,2,39
S00117963,168,116,52,13,3,0,2,2,14,2,35
S00117964,144,97,47,8,3,0,4,2,11,4,30
S00117965,91,63,28,7,3,0,0,0,7,4,19
S00117966,52,33,19,0,0,0,2,0,6,3,15
S00117967,126,69,57,19,12,1,2,0,15,7,26
S00117968,103,74,29,11,2,0,1,0,7,1,17
S00117969,123,92,31,9,1,0,3,0,12,6,17
S00117970,56,35,21,6,2,0,2,0,2,2,12
S00117971,98,68,30,13,1,1,2,2,5,2,14
S00117972,90,60,30,11,4,0,1,0,7,2,22
S00117973,91,61,30,9,0,0,2,1,6,3,17
S00117974,137,79,58,14,6,0,5,0,16,6,34
S00117975,152,101,51,11,1,0,1,0,14,7,32
S00117976,132,90,42,9,5,0,3,0,4,4,23
S00117977,104,58,46,12,2,1,0,0,6,3,38
S00117978,73,47,26,7,4,0,2,0,8,2,15
S00117979,170,107,63,13,4,0,7,1,15,4,36
S00117980,107,67,40,11,5,0,4,2,12,2,20
S00117981,85,51,34,9,3,0,1,0,4,0,27
S00117982,92,55,37,13,1,0,4,0,6,5,16
S00117983,92,57,35,7,1,0,4,1,11,5,23
S00117984,173,136,37,12,3,0,3,0,8,5,19
S00117985,108,73,35,7,1,0,6,0,2,7,20
S00117986,149,105,44,5,3,0,6,1,10,5,27
S00117987,111,71,40,10,6,0,6,0,5,1,24
S00117988,157,112,45,9,4,1,4,0,4,3,36
S00117989,115,80,35,13,7,0,1,0,9,3,19
S00117990,136,93,43,11,3,0,2,3,4,2,28
S00117991,103,62,41,14,4,0,3,0,10,2,25
S00117992,112,58,54,21,8,0,1,0,17,1,28
S00117993,110,71,39,8,1,0,6,2,7,4,24
S00117994,119,76,43,16,7,0,2,1,7,3,30
S00117995,133,88,45,11,3,0,1,0,12,1,30
S00117996,98,72,26,6,1,0,3,0,3,3,17
S00117997,104,73,31,8,3,2,3,0,10,1,20
S00117998,111,80,31,11,4,0,5,0,4,1,15
S00117999,108,76,32,9,3,0,2,0,8,4,18
S00118000,128,104,24,8,1,1,4,0,4,0,11
S00118001,114,79,35,7,2,1,3,1,8,1,23
S00118002,91,63,28,5,6,0,6,0,4,1,16
