oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S00097206,55,2,6,23,6,1,3
S00097207,67,0,22,17,4,4,21
S00097208,65,1,20,21,9,4,20
S00097209,64,1,18,15,6,4,17
S00097210,61,0,12,14,5,2,16
S00097211,75,1,23,22,8,2,23
S00097212,67,0,20,30,6,7,14
S00097213,51,1,18,10,3,0,16
S00097214,60,0,10,22,11,5,18
S00097215,62,0,25,14,6,1,16
S00097216,58,1,17,14,2,3,13
S00097217,73,3,27,23,7,5,20
S00097218,76,2,24,19,5,5,26
S00097219,58,0,16,19,7,2,13
S00097220,51,1,19,9,3,2,15
S00097221,41,0,13,6,0,4,16
S00097222,35,2,11,10,3,2,8
S00097223,59,1,12,19,4,4,12
S00097224,67,1,14,17,6,4,20
S00097225,37,1,9,8,2,2,9
S00097226,43,1,14,8,1,2,11
S00097227,64,0,25,5,0,2,24
S00097228,67,0,13,15,5,4,18
S00097229,44,0,24,2,1,1,20
S00097230,61,0,20,19,6,4,19
S00097231,45,0,22,4,2,1,29
S00097232,77,0,29,15,2,3,21
S00097233,24,0,4,6,0,3,10
S00097234,68,1,19,17,7,2,24
S00097235,53,0,16,12,3,0,18
S00097236,63,0,18,19,7,2,13
S00097237,68,1,25,14,2,2,29
S00097238,56,0,10,14,5,1,10
S00097239,59,1,16,9,1,1,19
S00097240,43,11,12,21,14,4,9
S00097241,33,2,8,8,3,4,11
S00097242,50,1,17,14,2,4,14
S00097243,69,0,2,38,20,4,5
S00097244,50,0,12,19,10,2,13
S00097245,59,2,3,28,16,5,3
S00097246,25,0,8,6,1,0,6
S00097247,47,2,8,18,7,5,6
S00097248,53,1,7,12,4,3,16
S00097249,41,0,3,24,10,4,4
S00097250,63,3,4,34,20,2,5
S00097251,73,1,25,20,6,4,26
S00097252,76,3,12,21,5,6,24
S00097253,67,3,16,19,7,3,22
S00097254,59,2,21,16,3,5,20
S00097255,57,0,15,11,5,1,14
S00097256,51,0,18,6,3,2,20
S00097257,35,1,10,8,3,1,13
S00097258,23,1,7,8,0,3,6
S00097259,62,1,10,23,13,6,15
S00097260,29,0,8,9,1,4,11
S00097261,32,0,7,8,3,2,5
S00097262,53,0,33,7,1,1,29
S00097263,41,2,15,8,3,7,20
S00097264,40,1,18,8,4,1,16
S00097265,35,0,13,11,5,2,12
S00097266,38,0,13,7,2,0,8
S00097267,36,1,16,2,0,2,13
S00097268,58,2,14,21,5,3,11
S00097269,77,1,37,12,3,4,35
S00097270,21,1,5,8,4,3,1
S00097271,43,0,18,10,3,3,15
S00097272,39,0,19,8,3,2,20
S00097273,37,3,16,8,3,3,11
S00097274,44,0,14,15,5,1,10
S00097275,39,1,19,8,2,1,20
S00097276,38,0,4,12,2,1,8
S00097277,61,0,20,12,5,2,21
S00097278,51,5,14,16,5,3,11
S00097279,47,1,11,14,2,2,8
S00097280,45,0,23,12,3,1,13
S00097281,53,3,22,16,4,4,20
S00097282,47,3,12,17,6,5,14
S00097283,33,5,6,13,5,5,7
S00097284,51,3,10,19,6,4,10
S00097285,36,0,11,8,3,0,10
S00097286,28,0,7,11,4,1,7
S00097287,66,0,20,18,4,2,18
S00097288,67,3,25,18,7,8,24
S00097289,48,1,21,10,2,4,16
S00097290,50,0,21,13,5,0,21
S00097291,35,0,4,8,4,1,6
S00097292,32,2,16,10,2,4,14
S00097293,54,0,16,12,2,1,15
S00097294,45,0,9,18,4,2,15
S00097295,37,0,3,10,2,2,7
S00097296,43,0,11,12,3,3,12
S00097297,27,0,15,2,2,0,20
S00097298,57,1,23,10,5,1,17
S00097299,36,1,8,10,6,2,8
S00097300,69,0,16,25,5,3,16
S00097301,33,1,15,5,2,1,15
S00097302,45,0,22,6,3,0,16
S00097303,72,1,24,12,2,2,16
S00097304,42,0,16,12,4,2,15
S00097305,41,1,11,13,9,5,11
S00097306,49,0,7,19,9,2,6
S00097307,66,1,14,20,7,7,17
S00097308,41,0,14,4,2,0,17
S00097309,52,0,20,18,7,3,17
S00097310,64,1,13,23,12,3,11
S00097311,69,2,19,21,6,9,16
S00097312,31,0,20,0,0,0,13
S00097313,37,0,16,6,3,3,8
S00097314,39,0,28,5,2,0,17
S00097315,70,1,46,8,4,3,27
S00097316,30,0,16,5,1,1,11
S00097317,40,0,19,6,2,2,15
S00097318,25,0,14,3,0,0,9
S00097319,31,1,15,10,3,1,12
S00097320,30,0,8,10,6,1,8
S00097321,41,2,6,11,3,3,8
S00097322,33,0,13,5,1,0,7
S00097323,55,3,15,14,6,5,16
S00097324,64,1,31,7,3,4,27
S00097325,46,2,18,12,3,3,16
S00097326,43,1,17,11,4,4,14
S00097327,44,1,11,10,5,3,10
S00097328,56,0,17,11,2,2,13
S00097329,69,2,22,20,9,9,21
S00097330,44,1,10,11,4,4,12
S00097331,65,0,20,14,6,5,13
S00097332,33,0,13,10,1,2,10
S00097333,65,2,27,14,5,4,22
S00097334,50,6,19,14,6,7,18
S00097335,54,0,14,13,1,2,18
S00097336,31,0,10,9,2,1,11
S00097337,39,0,18,12,3,3,10
S00097338,49,1,13,8,4,2,14
S00097339,61,14,3,43,20,11,8
S00097340,72,4,15,24,10,4,21
S00097341,56,0,21,12,1,4,22
S00097342,60,0,23,14,10,1,14
S00097343,47,2,10,16,5,3,13
S00097344,71,1,17,21,7,6,19
S00097345,39,1,19,7,2,2,15
S00097346,70,2,40,13,6,3,23
S00097347,27,0,14,3,1,1,11
S00097348,70,2,22,15,8,3,21
S00097349,47,1,10,7,1,1,11
S00097350,50,0,9,16,2,7,9
S00097351,39,0,14,5,2,1,14
S00097352,57,1,30,8,4,0,25
S00097353,48,0,14,16,4,1,16
S00097354,75,1,32,10,1,2,37
S00097355,25,3,7,11,7,2,3
S00097356,61,2,32,12,3,2,27
S00097357,47,0,26,6,0,4,19
S00097358,28,0,7,8,2,2,3
S00097359,40,1,5,9,2,2,9
S00097360,63,0,18,28,9,6,12
S00097361,26,0,8,8,2,0,8
S00097362,28,3,10,6,1,2,8
S00097363,67,0,34,13,5,3,25
S00097364,71,1,35,14,2,5,20
S00097365,44,2,11,10,5,2,12
S00097366,51,1,13,13,2,3,11
S00097367,72,3,33,12,4,3,35
S00097368,55,1,25,10,3,4,23
S00097369,56,3,10,24,10,3,8
S00097370,24,2,4,6,1,2,9
S00097371,54,0,12,10,1,2,11
S00097372,29,0,9,3,1,0,7
S00097373,34,2,11,8,3,1,8
S00097374,56,1,16,11,5,2,15
S00097375,55,0,25,7,2,1,21
S00097376,44,1,19,5,2,0,18
S00097377,54,0,14,8,2,2,24
S00097378,64,0,25,11,3,2,19
S00097379,64,1,39,9,0,6,29
S00097380,49,0,27,7,3,2,19
S00097381,62,2,32,8,1,0,29
S00097382,54,0,15,8,3,0,13
S00097383,54,2,17,9,5,1,19
S00097384,34,0,7,9,2,2,7
S00097385,42,0,17,12,2,1,17
S00097386,50,3,18,12,4,3,21
S00097387,42,0,23,5,3,1,22
S00097388,57,4,24,18,8,6,20
S00097389,52,0,22,6,3,2,24
S00097390,57,3,10,13,3,2,13
S00097391,41,2,12,22,12,4,13
S00097392,69,0,28,15,7,1,27
S00097393,40,0,9,8,3,2,15
S00097394,27,0,6,8,4,1,6
S00097395,57,0,19,11,1,0,20
S00097396,29,0,12,6,0,3,9
S00097397,50,1,24,5,3,1,24
S00097398,48,1,24,6,1,0,21
S00097399,42,0,12,6,3,1,13
S00097400,63,2,23,17,6,3,25
S00097401,35,0,22,6,2,1,17
S00097402,53,0,27,6,1,2,18
S00097403,41,1,20,4,0,1,21
S00097404,55,0,17,14,4,0,24
S00097405,44,3,17,10,7,2,17
S00097406,41,2,21,8,2,4,17
S00097407,32,0,20,2,0,0,15
S00097408,36,0,11,5,4,0,5
S00097409,36,0,16,5,1,3,13
S00097410,45,1,22,7,1,0,16
S00097411,41,0,12,10,4,1,19
S00097412,37,1,12,12,5,2,13
S00097413,55,1,31,9,4,3,26
S00097414,54,0,20,12,4,1,11
S00097415,54,1,19,8,2,2,21
S00097416,55,0,26,8,1,1,20
S00097417,67,1,21,14,2,5,23
S00097418,73,4,22,18,6,3,23
S00097419,39,0,12,6,1,0,18
S00097420,57,0,30,12,4,2,14
S00097421,50,0,20,9,4,0,18
S00097422,61,1,16,13,2,3,21
S00097423,25,1,8,4,0,0,10
S00097424,60,2,21,9,3,2,22
S00097425,57,0,18,15,4,2,19
S00097426,38,0,15,9,4,0,16
S00097427,38,1,12,7,5,2,14
S00097428,48,1,12,11,4,2,19
S00097429,51,7,19,25,14,8,20
S00097430,31,1,7,7,2,2,16
S00097431,76,2,34,5,0,1,32
S00097432,40,0,18,5,1,1,12
S00097433,54,0,20,14,6,3,15
S00097434,65,1,15,14,6,2,24
S00097435,46,1,14,12,4,1,17
S00097436,59,14,11,32,13,12,13
S00097437,46,0,19,12,5,2,17
S00097438,72,3,25,15,6,5,25
S00097439,56,6,11,26,10,5,14
S00097440,28,2,4,9,5,3,8
S00097441,51,3,24,7,3,3,25
S00097442,59,3,22,14,5,3,27
S00097443,61,3,22,21,5,5,22
S00097444,69,0,31,8,1,1,30
S00097445,25,0,8,7,3,1,10
S00097446,77,3,39,13,3,5,34
S00097447,53,2,24,10,6,7,23
S00097448,56,0,29,10,0,1,25
S00097449,49,0,18,9,3,2,18
S00097450,56,3,27,9,5,3,19
S00097451,52,1,23,5,0,2,23
S00097452,26,1,6,7,2,3,6
S00097453,70,2,24,17,4,6,30
S00097454,48,2,25,12,6,3,20
S00097455,57,0,35,7,3,2,30
S00097456,71,1,16,21,7,4,18
S00097457,40,3,12,13,3,9,11
S00097458,50,0,18,13,8,3,18
S00097459,62,3,23,17,7,6,29
S00097460,76,6,26,23,9,7,30
S00097461,31,1,12,4,1,0,10
S00097462,59,1,13,21,8,4,13
S00097463,30,0,6,8,3,2,11
S00097464,55,2,23,16,3,2,20
S00097465,77,1,19,29,10,2,21
S00097466,65,0,15,17,8,4,22
S00097467,44,7,12,15,5,9,11
S00097468,43,1,18,9,1,4,14
S00097469,51,1,19,8,4,3,19
S00097470,63,0,15,18,7,6,24
S00097471,59,2,14,14,6,1,17
S00097472,37,8,12,15,8,5,13
S00097473,45,2,25,7,4,4,25
S00097474,39,4,13,13,7,2,12
S00097475,37,3,13,7,2,2,19
S00097476,45,2,14,13,8,1,14
S00097477,54,4,22,11,4,2,21
S00097478,46,0,24,7,4,2,24
S00097479,67,1,37,11,3,3,33
S00097480,26,1,10,6,1,2,11
S00097481,53,0,27,5,3,0,27
S00097482,32,1,16,6,2,3,16
S00097483,50,2,34,7,1,3,21
S00097484,30,1,15,11,1,3,11
S00097485,50,2,22,17,5,6,17
S00097486,53,0,22,8,5,3,13
S00097487,51,0,12,9,7,1,15
S00097488,44,1,15,9,4,1,17
S00097489,41,0,18,10,5,2,14
S00097490,75,2,31,22,7,6,28
S00097491,29,2,15,8,2,1,9
S00097492,67,1,24,14,5,3,24
S00097493,51,0,23,5,2,1,19
S00097494,45,0,30,4,3,1,14
S00097495,43,1,20,11,5,0,8
S00097496,49,0,28,9,3,2,18
S00097497,56,6,21,13,7,4,16
S00097498,56,1,27,10,5,3,14
S00097499,53,0,29,9,2,2,18
S00097500,49,1,10,17,9,5,12
S00097501,52,1,30,2,0,0,17
S00097502,66,1,27,16,3,3,21
S00097503,49,1,21,12,8,1,17
S00097504,56,0,25,13,3,1,19
S00097505,49,1,24,13,2,1,17
S00097506,56,1,27,8,1,3,18
S00097507,42,0,23,6,1,1,12
S00097508,56,2,20,12,5,3,19
S00097509,44,1,11,9,4,1,6
S00097510,59,0,17,8,3,1,23
S00097511,66,1,24,20,8,2,24
S00097512,48,0,22,9,2,3,17
S00097513,39,0,20,3,2,0,12
S00097514,40,0,19,4,0,0,11
S00097515,64,1,32,10,4,3,22
S00097516,74,5,39,13,4,4,33
S00097517,42,2,17,6,5,0,13
S00097518,39,0,18,7,3,2,18
S00097519,63,5,30,17,6,7,22
S00097520,44,3,12,11,5,2,13
S00097521,77,1,36,14,3,4,32
S00097522,28,0,9,8,3,1,8
S00097523,32,0,11,3,1,1,16
S00097524,65,1,23,11,6,2,21
S00097525,44,0,21,8,2,4,19
S00097526,71,1,31,12,3,2,22
S00097527,60,1,28,12,4,0,22
S00097528,66,5,22,23,3,9,18
S00097529,66,4,24,21,6,6,26
S00097530,55,0,25,9,4,2,24
S00097531,61,6,16,22,10,6,17
S00097532,54,5,18,21,12,3,15
S00097533,53,2,18,15,9,3,14
S00097534,51,2,19,11,5,3,19
S00097535,71,4,22,24,8,8,21
S00097536,37,6,16,17,9,6,12
S00097537,68,8,24,25,14,6,20
S00097538,62,5,20,20,11,5,20
S00097539,89,15,30,35,25,11,32
S00097540,71,9,25,26,15,6,24
S00097541,28,4,10,10,2,5,10
S00097542,36,3,18,10,4,6,20
S00097543,55,14,22,23,16,4,13
S00097544,43,9,20,20,10,7,14
S00097545,69,0,36,8,3,2,35
S00097546,57,1,37,2,1,1,27
S00097547,43,5,11,15,8,7,13
S00097548,55,3,19,13,4,3,16
S00097549,69,3,29,17,7,3,25
S00097550,50,6,14,10,4,4,10
S00097551,38,1,15,5,2,1,15
S00097552,47,1,21,4,2,1,13
S00097553,45,3,13,15,10,5,13
S00097554,56,1,23,13,6,2,16
S00097555,34,1,13,4,2,0,12
S00097556,61,2,13,15,6,5,15
S00097557,52,0,38,1,1,1,29
S00097558,77,10,18,30,7,7,20
S00097559,43,0,6,14,4,4,12
S00097560,43,1,22,11,3,4,17
S00097561,64,1,16,19,8,2,21
S00097562,74,0,30,14,4,1,30
S00097563,37,1,20,4,1,0,14
S00097564,41,3,17,14,3,8,15
S00097565,35,2,17,12,2,3,14
S00097566,68,5,31,11,6,2,29
S00097567,51,1,12,15,6,9,21
S00097568,70,1,42,14,6,3,35
S00097569,40,3,12,13,5,1,12
S00097570,66,1,17,20,5,5,21
S00097571,65,1,30,13,4,4,22
S00097572,46,0,27,5,0,0,22
S00097573,40,2,17,13,6,1,17
S00097574,46,1,20,9,3,1,17
S00097575,59,2,21,21,7,3,21
S00097576,71,4,20,21,5,5,20
S00097577,46,2,20,12,5,2,19
S00097578,42,2,14,10,3,2,13
S00097579,44,1,16,12,3,1,14
S00097580,65,0,33,6,3,1,32
S00097581,48,2,25,11,3,2,21
S00097582,57,2,27,11,2,2,26
S00097583,74,0,22,17,6,5,23
S00097584,51,4,22,10,4,4,17
S00097585,52,2,16,17,7,0,11
S00097586,58,2,15,23,10,9,15
S00097587,51,1,17,17,5,1,11
S00097588,46,1,13,14,5,1,17
S00097589,48,0,18,11,1,4,18
S00097590,45,1,25,5,2,3,23
S00097591,43,1,15,11,5,0,14
S00097592,49,2,25,5,1,1,20
S00097593,40,0,23,7,3,1,17
S00097594,30,0,16,6,2,1,15
S00097595,44,2,19,16,4,4,20
S00097596,45,1,24,6,2,2,19
S00097597,55,0,30,3,1,0,23
S00097598,44,1,14,7,4,1,16
S00097599,41,3,25,8,1,4,19
S00097600,41,0,23,8,4,4,17
S00097601,62,0,36,10,1,1,16
S00097602,61,2,34,9,4,3,22
S00097603,50,0,21,14,3,2,12
S00097604,67,3,34,15,6,4,29
S00097605,68,1,38,5,1,2,32
S00097606,71,3,29,18,6,3,27
S00097607,57,5,19,19,9,5,19
S00097608,54,1,24,16,9,3,22
S00097609,74,2,43,13,3,3,33
S00097610,56,6,13,25,10,8,6
S00097611,77,0,37,10,4,1,24
S00097612,65,3,18,18,6,2,16
S00097613,54,2,21,12,5,2,19
S00097614,29,2,4,12,2,3,8
S00097615,41,2,10,13,7,3,14
S00097616,57,4,19,12,5,3,16
S00097617,59,3,36,12,7,1,28
S00097618,55,0,29,9,2,3,24
S00097619,78,6,36,11,2,2,20
S00097620,69,1,22,17,5,4,25
S00097621,50,5,10,24,9,4,10
S00097622,51,1,16,19,5,3,10
S00097623,48,1,9,21,5,6,12
S00097624,61,0,29,9,1,2,29
S00097625,55,1,24,10,2,1,21
S00097626,46,0,17,10,4,1,14
S00097627,47,2,11,13,5,4,8
S00097628,43,1,15,10,3,1,13
S00097629,29,0,7,6,4,0,9
S00097630,62,1,17,16,4,4,14
S00097631,63,0,33,10,5,2,29
S00097632,62,2,23,12,7,2,19
S00097633,60,1,21,10,1,3,18
S00097634,71,0,23,14,3,3,21
S00097635,35,2,9,8,2,3,12
S00097636,75,0,30,18,6,3,25
S00097637,73,1,35,17,7,3,21
S00097638,43,0,20,2,1,1,12
S00097639,39,0,29,6,2,2,17
S00097640,56,0,23,16,6,3,16
S00097641,73,3,21,20,8,4,22
S00097642,73,3,32,15,8,3,27
S00097643,76,0,41,6,3,1,34
S00097644,76,0,33,14,3,1,21
S00097645,67,0,27,15,5,3,21
S00097646,55,0,31,6,1,1,22
S00097647,71,2,29,12,5,2,24
S00097648,34,1,11,8,4,2,9
S00097649,43,0,13,11,5,2,14
S00097650,36,1,21,7,5,0,14
S00097651,37,0,12,8,4,1,11
S00097652,42,6,11,19,8,4,11
S00097653,39,2,16,10,4,5,12
S00097654,41,1,29,4,0,4,20
S00097655,45,3,14,14,1,3,13
S00097656,59,1,24,12,1,2,21
S00097657,68,3,27,18,5,3,26
S00097658,55,1,17,14,6,0,14
S00097659,54,0,30,6,3,1,25
S00097660,45,1,22,7,1,3,18
S00097661,54,1,11,15,6,3,10
S00097662,44,3,17,12,1,4,17
S00097663,67,2,18,16,4,6,16
S00097664,44,2,15,9,4,0,12
S00097665,43,1,16,9,4,3,16
S00097666,50,1,15,13,3,0,17
S00097667,47,0,27,5,2,1,21
S00097668,45,0,19,11,4,2,15
S00097669,44,4,15,13,7,2,11
S00097670,59,4,24,22,6,4,18
S00097671,45,2,16,14,3,4,11
S00097672,41,2,13,10,4,3,15
S00097673,55,5,21,19,10,3,15
S00097674,54,1,22,10,7,2,16
S00097675,39,2,15,8,2,3,10
S00097676,56,2,20,12,3,1,27
S00097677,46,1,17,7,4,1,15
S00097678,56,4,18,14,3,4,15
S00097679,56,1,28,10,3,1,22
S00097680,51,1,22,14,4,3,16
S00097681,36,2,7,9,3,2,6
S00097682,66,1,25,18,9,6,24
S00097683,33,1,14,10,2,2,14
S00097684,67,4,33,12,4,7,25
S00097685,40,2,17,9,3,2,17
S00097686,58,1,21,14,6,2,20
S00097687,45,1,18,12,6,3,20
S00097688,39,1,16,5,1,1,19
S00097689,53,4,21,11,4,3,23
S00097690,47,1,4,26,10,7,6
S00097691,50,7,16,14,9,1,18
S00097692,37,4,8,17,7,2,14
S00097693,50,0,23,9,7,0,17
S00097694,78,7,20,37,21,13,19
S00097695,59,2,20,13,3,2,15
S00097696,65,2,33,12,5,1,21
S00097697,49,1,32,9,3,3,28
S00097698,45,2,19,10,7,3,14
S00097699,50,0,22,9,4,4,12
S00097700,44,0,14,8,3,2,13
S00097701,43,0,24,8,3,3,18
S00097702,54,0,25,6,2,2,22
S00097703,47,0,20,10,4,2,21
S00097704,47,2,23,8,3,2,18
S00097705,58,0,22,12,8,2,22
S00097706,43,0,19,10,2,1,17
S00097707,47,0,31,6,4,0,25
S00097708,43,1,12,17,6,5,11
S00097709,49,2,33,7,4,1,27
S00097710,42,1,12,15,9,2,15
S00097711,61,2,15,17,14,3,17
S00097712,77,6,19,34,15,6,11
S00097713,55,3,19,18,9,1,17
S00097714,52,1,27,8,1,0,20
S00097715,40,1,12,12,2,2,14
S00097716,40,0,11,8,2,1,11
S00097717,65,3,19,23,12,1,20
S00097718,70,3,35,21,11,5,31
S00097719,60,2,34,10,5,3,26
S00097720,50,2,14,14,9,5,11
S00097721,42,3,11,13,3,3,10
S00097722,44,1,15,12,2,2,15
S00097723,40,1,15,10,5,2,14
S00097724,45,0,18,12,4,4,18
S00097725,51,1,26,7,1,2,24
S00097726,41,2,9,13,7,5,14
S00097727,40,1,9,14,11,2,14
S00097728,58,1,19,13,6,3,19
S00097729,66,1,36,10,5,5,32
S00097730,61,1,36,6,1,0,31
S00097731,63,1,21,18,8,5,23
S00097732,68,4,18,21,12,3,15
S00097733,52,2,22,17,9,4,23
S00097734,56,4,9,19,10,3,14
S00097735,45,2,25,9,5,1,22
S00097736,58,6,10,28,19,4,17
S00097737,54,0,20,17,8,3,22
S00097738,47,0,22,6,1,1,17
S00097739,52,1,11,9,7,2,11
S00097740,30,4,11,10,6,2,7
S00097741,39,2,17,6,2,1,16
S00097742,37,1,7,8,1,3,6
S00097743,68,2,39,12,2,3,35
S00097744,60,0,29,9,3,1,18
S00097745,35,0,13,8,3,1,9
S00097746,44,0,11,8,2,2,12
S00097747,38,0,6,10,6,3,8
S00097748,41,0,10,12,6,2,11
S00097749,61,3,28,20,2,6,26
S00097750,36,6,7,15,8,6,11
S00097751,57,8,14,24,11,6,13
S00097752,35,0,10,15,6,6,7
S00097753,65,11,21,27,8,5,14
S00097754,65,0,19,24,15,4,18
S00097755,34,0,14,14,7,2,9
S00097756,68,3,18,28,11,3,16
S00097757,67,0,24,18,3,3,18
S00097758,56,1,17,19,6,2,16
S00097759,66,1,20,19,9,10,16
S00097760,44,2,10,9,4,5,13
S00097761,77,0,20,12,6,1,21
S00097762,48,0,12,17,4,4,7
S00097763,40,4,10,12,2,2,7
S00097764,50,3,20,11,3,2,18
S00097765,41,5,21,10,6,2,18
S00097766,52,1,16,16,5,2,21
S00097767,73,3,23,19,8,5,21
S00097768,51,1,17,8,4,1,16
S00097769,69,5,33,11,5,2,29
S00097770,70,2,22,16,7,2,23
S00097771,42,9,10,22,9,10,10
S00097772,48,5,12,17,5,8,16
S00097773,64,0,27,19,7,7,29
S00097774,56,0,30,12,4,3,28
S00097775,60,1,39,7,5,4,32
S00097776,50,1,28,11,3,2,24
S00097777,45,1,18,9,3,2,14
S00097778,41,0,20,7,3,1,18
S00097779,29,2,8,8,3,2,11
S00097780,65,1,13,21,7,3,15
S00097781,76,1,21,22,9,5,16
S00097782,72,0,27,14,3,0,22
S00097783,57,1,14,16,2,4,16
S00097784,49,0,17,11,4,1,12
S00097785,37,0,19,6,2,3,12
S00097786,58,1,35,4,2,2,28
S00097787,61,0,15,7,1,0,16
S00097788,62,0,11,8,1,1,13
S00097789,40,1,12,12,4,2,12
S00097790,39,0,11,9,4,1,6
S00097791,40,0,12,11,1,3,8
S00097792,29,0,17,6,1,2,14
S00097793,70,0,21,21,4,4,18
S00097794,41,2,12,8,3,2,14
S00097795,45,0,24,10,3,1,18
S00097796,74,1,24,23,9,2,23
S00097797,68,0,16,21,7,3,18
S00097798,67,0,21,16,6,4,14
S00097799,40,0,9,15,6,3,9
S00097800,52,0,13,5,2,0,14
S00097801,51,1,18,14,6,4,15
S00097802,48,0,26,3,3,0,25
S00097803,72,5,26,17,6,4,24
S00097804,57,0,27,4,3,0,18
S00097805,53,2,28,9,4,1,28
S00097806,34,7,9,15,12,5,9
S00097807,61,2,25,12,2,5,23
S00097808,49,0,41,0,0,0,35
S00097809,61,2,19,10,3,5,19
S00097810,70,2,27,9,4,2,23
S00097811,62,8,9,18,8,4,11
S00097812,76,2,33,8,0,3,24
S00097813,76,2,28,11,4,2,21
S00097814,44,2,9,4,2,1,10
S00097815,52,0,24,14,2,3,14
S00097816,40,1,13,2,0,1,14
S00097817,53,1,13,12,4,4,15
S00097818,41,0,7,7,3,2,5
S00097819,47,1,24,10,5,1,13
S00097820,57,0,21,11,3,0,21
S00097821,38,0,20,10,1,5,14
S00097822,54,0,14,14,6,2,14
S00097823,73,0,31,14,3,5,27
S00097824,48,0,22,12,2,3,10
S00097825,65,7,18,30,14,5,16
S00097826,44,1,16,3,1,1,17
S00097827,51,3,18,14,8,2,12
S00097828,67,0,19,24,13,0,17
S00097829,76,3,21,15,7,3,13
S00097830,42,0,10,12,3,1,7
S00097831,59,2,18,18,6,3,19
S00097832,58,2,17,11,3,5,25
S00097833,62,2,18,23,7,2,20
S00097834,42,1,16,7,3,3,15
S00097835,51,0,5,22,16,2,5
S00097836,55,0,13,23,6,3,13
S00097837,48,0,7,15,2,1,6
S00097838,55,0,8,21,7,3,7
S00097839,48,0,11,13,5,2,11
S00097840,43,0,11,11,3,0,11
S00097841,60,0,33,5,1,1,28
S00097842,26,0,6,11,2,4,3
S00097843,49,4,8,17,7,6,5
S00097844,53,1,14,18,5,7,16
S00097845,38,1,12,9,4,5,8
S00097846,52,3,19,16,4,3,15
S00097847,56,0,20,11,3,1,18
S00097848,47,0,5,19,3,5,8
S00097849,39,1,10,11,6,3,15
S00097850,78,3,36,14,4,2,24
S00097851,69,3,31,14,4,5,26
S00097852,45,0,20,11,2,3,15
S00097853,48,0,24,9,2,3,21
S00097854,44,1,11,14,5,3,13
S00097855,65,1,12,18,3,2,20
S00097856,56,1,8,19,4,3,18
S00097857,57,0,21,14,6,3,21
S00097858,49,1,21,12,3,3,14
S00097859,59,0,19,15,4,3,14
S00097860,53,0,24,5,0,1,23
S00097861,61,1,16,17,9,3,8
S00097862,70,3,8,18,10,5,9
S00097863,56,0,19,13,3,2,15
S00097864,48,0,6,16,8,2,7
S00097865,61,1,22,11,5,2,19
S00097866,63,0,11,15,7,5,12
S00097867,67,5,14,14,6,1,17
S00097868,60,0,8,26,16,4,7
S00097869,40,0,9,10,4,1,9
S00097870,57,0,20,9,0,1,15
S00097871,39,0,11,12,5,1,8
S00097872,75,1,28,19,2,4,22
S00097873,39,1,14,9,5,2,11
S00097874,58,0,27,7,2,0,18
S00097875,61,1,12,16,4,3,7
S00097876,67,0,17,13,3,1,13
S00097877,46,0,4,21,6,3,11
S00097878,34,0,3,13,6,0,5
S00097879,53,1,12,13,4,2,11
S00097880,37,0,6,8,2,1,9
S00097881,49,2,11,21,9,3,9
S00097882,61,1,22,11,4,2,14
S00097883,43,0,14,5,3,1,5
S00097884,62,1,20,14,4,3,21
S00097885,58,1,34,6,2,1,23
S00097886,46,0,26,6,3,1,17
S00097887,51,0,18,11,1,2,13
S00097888,53,1,19,15,6,4,20
S00097889,70,0,14,22,9,2,17
S00097890,47,0,17,8,2,2,16
S00097891,63,0,12,31,11,4,9
S00097892,62,0,33,6,2,0,28
S00097893,42,1,8,7,2,3,11
S00097894,44,2,14,17,5,3,14
S00097895,27,0,5,9,3,3,7
S00097896,43,1,16,7,2,2,18
S00097897,62,3,21,15,11,2,19
S00097898,43,1,17,7,5,4,19
S00097899,43,1,11,14,5,2,15
S00097900,64,3,31,10,3,1,28
S00097901,62,5,17,20,6,8,17
S00097902,48,1,5,7,4,1,4
S00097903,47,0,20,5,2,0,16
S00097904,40,1,10,6,1,0,10
S00097905,50,1,18,19,5,2,13
S00097906,47,0,28,8,2,1,21
S00097907,43,0,16,11,3,2,11
S00097908,50,0,22,9,2,2,16
S00097909,45,0,12,8,2,3,11
S00097910,53,0,19,17,5,4,9
S00097911,52,3,28,7,3,3,28
S00097912,41,5,8,11,3,4,8
S00097913,40,2,12,6,3,1,16
S00097914,55,3,15,11,4,0,17
S00097915,50,0,10,11,4,2,10
S00097916,72,2,34,18,6,4,24
S00097917,72,3,29,21,9,2,18
S00097918,62,0,23,21,2,2,15
S00097919,56,0,20,15,3,1,10
S00097920,45,0,12,16,4,5,16
S00097921,29,3,11,13,5,4,12
S00097922,38,1,15,6,0,0,11
S00097923,65,16,10,36,23,8,11
S00097924,63,8,18,25,11,4,19
S00097925,63,0,30,9,2,0,18
S00097926,65,7,17,26,13,8,19
S00097927,63,5,19,26,10,7,16
S00097928,39,0,12,6,2,2,15
S00097929,58,2,23,13,9,1,16
S00097930,76,3,25,21,11,5,23
S00097931,67,1,24,16,5,3,25
S00097932,59,2,17,12,6,2,18
S00097933,51,3,18,8,2,0,17
S00097934,36,1,9,10,2,2,12
S00097935,63,7,14,29,16,11,13
