oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S00089116,68,11,9,44,18,7,9
S00089117,67,9,27,23,11,3,24
S00089118,61,0,16,12,4,3,15
S00089119,42,0,15,5,1,2,10
S00089120,31,0,8,6,1,3,9
S00089121,66,0,27,8,6,3,22
S00089122,38,5,15,12,5,2,14
S00089123,56,5,15,20,7,12,20
S00089124,39,1,16,9,5,1,20
S00089125,64,3,16,17,7,5,18
S00089126,43,6,12,18,9,4,11
S00089127,41,1,14,10,4,3,15
S00089128,39,1,11,12,1,4,12
S00089129,71,1,5,27,8,3,4
S00089130,43,1,12,14,6,3,14
S00089131,40,2,12,11,4,2,14
S00089132,41,0,8,7,1,0,7
S00089133,41,0,15,9,4,2,16
S00089134,61,0,25,9,1,2,29
S00089135,73,0,29,9,6,0,17
S00089136,52,0,17,11,2,2,19
S00089137,46,0,16,8,4,2,13
S00089138,47,0,44,0,0,0,40
S00089139,37,3,11,9,3,4,11
S00089140,45,0,11,10,5,0,13
S00089141,49,1,7,13,3,1,15
S00089142,53,3,12,15,3,4,14
S00089143,41,0,15,11,4,0,17
S00089144,44,1,13,10,1,4,15
S00089145,52,2,11,15,6,3,14
S00089146,43,0,13,16,10,2,12
S00089147,47,10,13,19,10,4,12
S00089148,44,6,13,16,6,6,7
S00089149,40,6,0,22,9,4,7
S00089150,69,3,25,24,12,7,25
S00089151,37,1,13,5,4,0,15
S00089152,42,0,23,1,1,0,21
S00089153,40,1,23,3,1,2,18
S00089154,37,0,10,8,5,1,12
S00089155,39,1,15,7,1,1,18
S00089156,49,1,21,11,5,2,14
S00089157,48,2,20,7,4,3,19
S00089158,55,0,20,16,8,3,19
S00089159,43,0,18,8,3,2,15
S00089160,50,0,20,9,4,4,17
S00089161,43,1,12,9,1,4,18
S00089162,34,2,12,11,5,3,10
S00089163,51,2,13,15,4,5,16
S00089164,39,1,15,7,1,4,20
S00089165,49,1,18,8,4,1,15
S00089166,71,3,26,22,9,2,26
S00089167,52,2,15,10,3,3,11
S00089168,53,0,53,0,0,0,44
S00089169,46,3,12,16,6,7,11
S00089170,46,2,16,14,8,7,14
S00089171,41,0,18,4,2,1,21
S00089172,31,3,11,9,5,1,10
S00089173,62,3,11,16,7,3,18
S00089174,71,3,18,21,12,6,27
S00089175,64,4,18,18,10,6,14
S00089176,42,1,5,13,4,2,7
S00089177,67,3,24,20,4,7,20
S00089178,66,3,25,17,9,4,17
S00089179,77,3,23,22,7,3,26
S00089180,60,2,17,10,2,2,19
S00089181,45,2,15,10,5,3,18
S00089182,43,2,6,15,4,3,9
S00089183,41,1,11,17,6,6,9
S00089184,46,0,8,23,4,3,8
S00089185,55,0,21,17,3,1,11
S00089186,51,0,9,15,11,1,5
S00089187,38,0,12,3,2,0,9
S00089188,70,2,18,14,1,1,12
S00089189,72,0,22,17,7,3,13
S00089190,59,1,7,7,3,1,5
S00089191,72,0,9,11,7,0,9
S00089192,65,0,7,10,2,1,1
S00089193,76,0,7,9,5,1,4
S00089194,65,0,22,11,4,1,16
S00089195,51,0,13,16,5,4,8
S00089196,53,0,12,11,1,0,11
S00089197,52,0,12,14,4,1,9
S00089198,54,0,15,2,0,0,11
S00089199,26,0,3,11,3,3,3
S00089200,34,0,12,10,6,0,9
S00089201,43,0,12,14,5,1,8
S00089202,72,0,13,15,6,2,12
S00089203,75,1,11,31,6,4,5
S00089204,52,0,7,25,9,2,9
S00089205,52,0,9,13,3,2,8
S00089206,51,0,17,16,4,2,11
S00089207,40,0,9,18,8,3,5
S00089208,51,0,6,4,2,0,11
S00089209,41,0,3,5,4,0,4
S00089210,52,0,10,1,0,0,9
S00089211,49,1,10,2,0,1,7
S00089212,62,0,9,4,1,2,3
S00089213,43,0,5,4,4,0,2
S00089214,41,0,4,1,0,0,4
S00089215,39,0,9,6,3,1,5
S00089216,68,0,15,4,3,0,9
S00089217,52,0,9,4,2,1,6
S00089218,84,1,19,6,5,0,14
S00089219,55,0,9,6,3,0,5
S00089220,39,0,6,1,1,0,2
S00089221,81,0,16,8,2,1,11
S00089222,50,1,6,5,5,0,3
S00089223,48,0,11,3,1,0,17
S00089224,67,1,10,14,3,3,9
S00089225,41,1,3,3,3,1,2
S00089226,38,0,2,4,2,0,1
S00089227,84,1,13,3,2,0,16
S00089228,41,0,4,13,7,1,2
S00089229,51,0,6,8,3,0,6
S00089230,52,1,13,6,3,0,13
S00089231,59,2,8,5,3,1,5
S00089232,47,1,4,11,5,0,3
S00089233,31,0,3,11,3,0,3
S00089234,44,1,7,13,3,3,4
S00089235,69,0,12,4,4,0,6
S00089236,58,1,8,3,2,0,3
S00089237,53,0,15,14,7,0,11
S00089238,59,0,20,13,3,3,10
S00089239,42,0,8,13,7,3,4
S00089240,73,0,17,26,10,5,9
S00089241,30,0,12,5,1,0,13
S00089242,51,0,12,15,7,1,12
S00089243,51,0,17,11,3,0,10
S00089244,56,0,21,13,4,5,15
S00089245,45,0,18,5,1,1,13
S00089246,37,0,14,13,5,2,10
S00089247,76,0,24,17,8,3,16
S00089248,91,0,16,19,8,4,10
S00089249,43,0,7,15,6,1,6
S00089250,36,0,2,11,2,2,5
S00089251,42,0,7,11,5,1,7
S00089252,44,0,5,20,4,1,5
S00089253,60,2,16,14,5,4,11
S00089254,56,1,15,21,9,2,10
S00089255,53,0,11,11,8,0,9
S00089256,46,0,9,15,10,1,8
S00089257,43,1,5,11,4,1,4
S00089258,50,1,10,7,3,0,9
S00089259,42,1,2,8,3,2,5
S00089260,55,0,6,17,8,2,10
S00089261,75,2,11,23,13,4,11
S00089262,69,1,20,3,1,0,14
S00089263,66,0,10,3,3,1,7
S00089264,77,0,12,8,2,0,7
S00089265,56,1,5,5,2,1,7
S00089266,59,0,5,9,7,0,7
S00089267,53,0,12,0,0,0,2
S00089268,71,3,7,10,10,0,3
S00089269,62,0,9,9,5,0,6
S00089270,80,0,12,7,4,0,11
S00089271,38,1,7,12,5,1,7
S00089272,26,0,5,9,3,2,4
S00089273,62,0,7,6,4,2,3
S00089274,64,0,8,10,5,1,3
S00089275,53,0,51,0,0,0,39
S00089276,41,0,8,2,2,0,12
S00089277,72,1,22,19,5,3,22
S00089278,53,0,50,0,0,0,40
S00089279,30,0,2,7,3,0,1
S00089280,27,0,5,8,3,2,5
S00089281,41,0,7,4,2,0,5
S00089282,27,0,5,11,6,0,5
S00089283,31,0,8,5,1,0,8
S00089284,51,0,18,5,2,1,21
S00089285,79,1,13,5,3,0,5
S00089286,68,1,12,5,3,0,5
S00089287,71,0,54,0,0,0,34
S00089288,48,1,21,12,5,2,19
S00089289,47,1,11,15,5,3,18
S00089290,31,1,13,6,2,1,12
S00089291,41,0,16,12,4,0,10
S00089292,42,0,16,7,5,1,10
S00089293,77,2,15,19,7,1,17
S00089294,67,2,11,16,7,2,10
S00089295,72,5,20,24,5,8,23
S00089296,66,2,19,14,7,5,21
S00089297,50,5,18,10,9,0,15
S00089298,48,1,18,5,4,0,19
S00089299,39,0,27,4,3,1,23
S00089300,41,0,12,9,3,3,12
S00089301,47,2,15,13,4,2,15
S00089302,41,0,14,9,2,2,10
S00089303,72,1,20,13,3,4,25
S00089304,62,2,21,18,6,1,21
S00089305,42,1,24,3,1,1,26
S00089306,68,3,40,7,3,3,40
S00089307,55,4,23,9,4,2,18
S00089308,27,4,4,13,6,2,6
S00089309,51,0,14,16,6,8,14
S00089310,72,1,26,22,7,8,18
S00089311,49,0,13,7,1,3,21
S00089312,69,1,13,19,10,4,14
S00089313,75,1,32,16,11,0,24
S00089314,73,0,14,10,4,1,9
